Model,Batch Size,Patience,Epochs,Learning Rate,Monitor Metric,Test Accuracy
DNN-7,128,10,50,0.001,val_accuracy,0.28443286940455437
DNN-8,64,10,50,0.0001,val_accuracy,0.2844328690941135
DNN-5,64,10,100,0.001,val_accuracy,0.2841435208295782
DNN-3,64,5,100,0.0005,val_accuracy,0.2841435189669331
DNN-9,64,3,50,0.0005,val_accuracy,0.28414351865649223
DNN-2,128,5,50,0.001,val_accuracy,0.2841435180356105
DNN-8,128,10,100,0.0005,val_accuracy,0.2841435174147288
DNN-8,128,5,50,0.0005,val_accuracy,0.2841435174147288
DNN-2,128,3,50,0.0001,val_accuracy,0.2841435174147288
DNN-8,128,5,50,0.001,val_accuracy,0.2841435174147288
DNN-9,64,10,50,0.0001,val_accuracy,0.2841435171042879
DNN-5,128,10,50,0.0001,val_accuracy,0.28414351648340624
DNN-3,128,5,100,0.001,val_accuracy,0.2838541688397527
DNN-3,64,3,50,0.0001,val_accuracy,0.28385416852931183
DNN-9,64,10,100,0.001,val_accuracy,0.2838541679084301
DNN-1,64,10,100,0.0005,val_accuracy,0.28385416759798926
DNN-7,64,3,50,0.001,val_accuracy,0.28385416728754836
DNN-3,64,3,100,0.0001,val_accuracy,0.28385416728754836
DNN-9,128,5,50,0.0005,val_accuracy,0.2838541666666667
DNN-2,64,10,100,0.001,val_accuracy,0.2838541663562258
DNN-9,64,3,50,0.001,val_accuracy,0.2835648152977228
DNN-2,64,3,100,0.0005,val_accuracy,0.283564814987282
DNN-2,128,5,100,0.0001,val_accuracy,0.2835648140559594
DNN-5,128,5,50,0.001,val_accuracy,0.2835648140559594
DNN-3,64,5,50,0.001,val_accuracy,0.28356481343507767
DNN-1,64,10,50,0.001,val_accuracy,0.2832754651705424
DNN-6,128,3,100,0.001,val_accuracy,0.2832754651705424
DNN-3,64,5,100,0.0001,val_accuracy,0.2832754645496607
DNN-2,64,10,50,0.0005,val_accuracy,0.2832754636183381
DNN-8,128,5,100,0.001,val_accuracy,0.28327546268701553
DNN-0,128,10,100,0.0001,val_accuracy,0.2832754620661338
DNN-0,64,10,100,0.0001,val_accuracy,0.28327546020348865
DNN-2,128,3,100,0.001,val_accuracy,0.28298610883454484
DNN-0,64,5,50,0.0001,val_accuracy,0.2826967624326547
DNN-6,64,5,100,0.001,val_accuracy,0.282696761811773
DNN-7,64,10,100,0.0005,val_accuracy,0.28269676119089127
DNN-9,128,3,100,0.001,val_accuracy,0.2826967587073644
DNN-9,128,10,100,0.0001,val_accuracy,0.2826967556029558
DNN-8,64,5,100,0.001,val_accuracy,0.28240741106371087
DNN-0,64,10,50,0.0001,val_accuracy,0.2824074092010657
DNN-2,128,3,50,0.001,val_accuracy,0.2824074088906248
DNN-7,64,10,50,0.0005,val_accuracy,0.28240740795930225
DNN-2,64,3,100,0.001,val_accuracy,0.2824074070279797
DNN-2,64,3,100,0.0001,val_accuracy,0.28211805783212185
DNN-6,128,10,50,0.001,val_accuracy,0.282118057521681
DNN-8,128,5,100,0.0001,val_accuracy,0.282118057521681
DNN-5,64,10,50,0.0001,val_accuracy,0.2821180559694767
DNN-2,64,3,50,0.001,val_accuracy,0.28211805534859496
DNN-3,128,5,100,0.0001,val_accuracy,0.28211805410683155
DNN-2,128,5,50,0.0001,val_accuracy,0.2821180534859498
