Model,Batch Size,Patience,Epochs,Learning Rate,Monitor Metric,Test Accuracy
CNN-2,64.0,10.0,100.0,0.0001,val_accuracy,0.2791666666666667
CNN-2,128.0,5.0,50.0,0.0005,val_accuracy,0.2791666666666667
CNN-2,128.0,10.0,50.0,0.0001,val_accuracy,0.2708333333333333
CNN-2,128.0,10.0,50.0,0.0005,val_accuracy,0.2694444444444445
CNN-2,128.0,5.0,50.0,0.0001,val_accuracy,0.2625
CNN-2,64.0,5.0,100.0,0.0005,val_accuracy,0.2597222222222222
CNN-2,128.0,5.0,100.0,0.0005,val_accuracy,0.2569444444444445
CNN-2,64.0,3.0,50.0,0.001,val_accuracy,0.25555555555555554
CNN-2,64.0,3.0,50.0,0.0005,val_accuracy,0.25555555555555554
CNN-2,128.0,5.0,50.0,0.001,val_accuracy,0.25555555555555554
CNN-2,128.0,3.0,100.0,0.0005,val_accuracy,0.25416666666666665
CNN-2,128.0,10.0,100.0,0.001,val_accuracy,0.25277777777777777
CNN-2,128.0,3.0,100.0,0.001,val_accuracy,0.25
CNN-2,128.0,5.0,100.0,0.0001,val_accuracy,0.24305555555555552
CNN-2,64.0,3.0,100.0,0.001,val_accuracy,0.24166666666666664
CNN-2,128.0,10.0,100.0,0.0001,val_accuracy,0.23888888888888885
CNN-2,64.0,5.0,50.0,0.0001,val_accuracy,0.2375
CNN-2,64.0,3.0,100.0,0.0001,val_accuracy,0.23611111111111108
CNN-2,64.0,5.0,100.0,0.0001,val_accuracy,0.23611111111111108
CNN-2,64.0,3.0,50.0,0.0001,val_accuracy,0.23472222222222222
CNN-2,128.0,3.0,100.0,0.0001,val_accuracy,0.2347222222222222
CNN-2,128.0,3.0,50.0,0.0005,val_accuracy,0.23194444444444443
CNN-2,128.0,5.0,100.0,0.001,val_accuracy,0.23194444444444443
CNN-2,128.0,3.0,50.0,0.001,val_accuracy,0.22361111111111112
CNN-2,128.0,3.0,50.0,0.0001,val_accuracy,0.21666666666666665
